SH172026,              LUANA,      29,
20260122, 0000,  , DB, 11.9S, 118.8E,  25,     , LUANA,
20260122, 0600,  , DB, 12.5S, 118.2E,  25,     , LUANA,
20260122, 1200,  , DB, 12.3S, 118.3E,  25,     , LUANA,
20260122, 1800,  , DB, 13.0S, 118.7E,  30,     , LUANA,
20260123, 0000,  , TS, 13.8S, 119.6E,  35,     , LUANA,
20260123, 0600,  , TS, 14.3S, 120.3E,  35,     , LUANA,
20260123, 1200,  , TS, 15.2S, 120.7E,  40,     , LUANA,
20260123, 1800,  , TS, 15.9S, 121.5E,  45,     , LUANA,
20260124, 0000,  , TS, 16.3S, 122.1E,  50,     , LUANA,
20260124, 0600,  , TS, 16.6S, 122.8E,  55,     , LUANA,
20260124, 0900,  , TS, 16.8S, 122.9E,  60,     , LUANA, L,
20260124, 1200,  , TS, 17.0S, 123.0E,  60,  983, LUANA,
20260124, 1800,  , TS, 17.7S, 123.6E,  55,     , LUANA,
20260125, 0000,  , TS, 18.2S, 123.8E,  45,     , LUANA,
20260125, 0600,  , TS, 18.5S, 124.3E,  40,     , LUANA,
20260125, 1200,  , TS, 19.1S, 124.1E,  35,     , LUANA,
20260125, 1800,  , TS, 19.5S, 123.9E,  35,     , LUANA,
20260126, 0000,  , TS, 20.3S, 123.8E,  40,     , LUANA,
20260126, 0600,  , TS, 21.2S, 123.7E,  40,  994, LUANA,
20260126, 1200,  , TS, 21.8S, 123.5E,  45,     , LUANA,
20260126, 1800,  , TS, 22.7S, 123.6E,  55,     , LUANA,
20260126, 2100,  , TS, 23.1S, 124.0E,  60,     , LUANA, DT5.5,
20260127, 0000,  , TS, 23.8S, 124.1E,  55,     , LUANA,
20260127, 0600,  , TS, 24.6S, 124.6E,  50,     , LUANA,
20260127, 1200,  , TS, 25.1S, 124.3E,  40,     , LUANA,
20260127, 1800,  , TS, 25.9S, 124.5E,  35,     , LUANA,
20260128, 0000,  , LO, 27.3S, 124.3E,    ,     , LUANA,
20260128, 0600,  , LO, 28.5S, 126.0E,    ,     , LUANA,
20260128, 1200,  , LO, 32.1S, 126.7E,    ,     , LUANA,
